0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
-0.024,0.024,-0.012,0.012,0.153,-0.153,0.02,-0.02,0.0,0.0,0.0,0.0,0.0,-0.144,0.144,0.0,0.0,0.031,-0.031,0.0,0.081,-0.081,-0.117,0.117,0.115,-0.115,-0.014,0.014,-0.023,0.023,0.0,0.0,0.0,0.0,-0.135,0.135,0.0,0.0
0.057,-0.057,-0.013,0.013,-0.055,0.055,0.116,-0.116,0.0,0.0,0.0,0.0,0.0,-0.078,0.078,0.0,0.0,-0.08,0.08,0.0,-0.017,0.017,0.187,-0.187,0.0,-0.0,0.109,-0.109,0.0,-0.0,0.0,0.0,0.0,0.0,0.05,-0.05,0.0,0.0
-0.016,0.016,-0.068,0.068,0.123,-0.123,-0.012,0.012,0.0,0.0,0.0,0.0,0.0,0.056,-0.056,0.0,0.0,0.062,-0.062,0.0,-0.002,0.002,-0.042,0.042,-0.031,0.031,-0.003,0.003,-0.02,0.02,0.0,0.0,0.0,0.0,-0.048,0.048,0.0,0.0
0.181,-0.181,-0.075,0.075,0.02,-0.02,-0.013,0.013,0.0,0.0,0.0,0.0,0.0,-0.018,0.018,0.0,0.0,-0.046,0.046,0.0,-0.216,0.216,-0.064,0.064,-0.01,0.01,0.213,-0.213,-0.05,0.05,0.0,0.0,0.0,0.0,0.042,-0.042,0.0,0.0
-0.027,0.027,0.053,-0.053,-0.141,0.141,0.116,-0.116,0.0,0.0,0.0,0.0,0.0,0.014,-0.014,0.0,0.0,0.086,-0.086,0.0,-0.163,0.163,-0.086,0.086,-0.054,0.054,-0.13,0.13,-0.024,0.024,0.0,0.0,0.0,0.0,-0.008,0.008,0.0,0.0
0.061,-0.061,-0.017,0.017,0.001,-0.001,0.003,-0.003,0.0,0.0,0.0,0.0,0.0,-0.116,0.116,0.0,0.0,0.08,-0.08,0.0,0.189,-0.189,0.178,-0.178,-0.133,0.133,-0.129,0.129,0.048,-0.048,0.0,0.0,0.0,0.0,0.038,-0.038,0.0,0.0
-0.233,0.233,-0.103,0.103,0.224,-0.224,-0.113,0.113,0.0,0.0,0.0,0.0,0.0,-0.088,0.088,0.0,0.0,0.025,-0.025,0.0,-0.141,0.141,0.086,-0.086,-0.057,0.057,-0.079,0.079,0.034,-0.034,0.0,0.0,0.0,0.0,0.001,-0.001,0.0,0.0
-0.08,0.08,-0.021,0.021,0.055,-0.055,0.045,-0.045,0.0,0.0,0.0,0.0,0.0,0.012,-0.012,0.0,0.0,0.015,-0.015,0.0,0.035,-0.035,0.08,-0.08,-0.024,0.024,0.095,-0.095,-0.024,0.024,0.0,0.0,0.0,0.0,0.059,-0.059,0.0,0.0
-0.028,0.028,-0.165,0.165,0.144,-0.144,-0.082,0.082,0.0,0.0,0.0,0.0,0.0,-0.102,0.102,0.0,0.0,-0.087,0.087,0.0,0.036,-0.036,0.0,-0.0,-0.153,0.153,0.017,-0.017,0.044,-0.044,0.0,0.0,0.0,0.0,-0.183,0.183,0.0,0.0
0.141,-0.141,-0.043,0.043,-0.063,0.063,0.102,-0.102,0.0,0.0,0.0,0.0,0.0,-0.046,0.046,0.0,0.0,-0.047,0.047,0.0,-0.056,0.056,0.206,-0.206,-0.045,0.045,-0.183,0.183,0.026,-0.026,0.0,0.0,0.0,0.0,-0.041,0.041,0.0,0.0
0.247,-0.247,0.083,-0.083,-0.078,0.078,0.101,-0.101,0.0,0.0,0.0,0.0,0.0,0.037,-0.037,0.0,0.0,-0.083,0.083,0.0,0.006,-0.006,-0.049,0.049,-0.031,0.031,-0.0,0.0,0.033,-0.033,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0
0.102,-0.102,0.05,-0.05,-0.033,0.033,0.068,-0.068,0.0,0.0,0.0,0.0,0.0,-0.076,0.076,0.0,0.0,0.152,-0.152,0.0,-0.097,0.097,-0.063,0.063,-0.034,0.034,-0.004,0.004,0.04,-0.04,0.0,0.0,0.0,0.0,0.009,-0.009,0.0,0.0
0.063,-0.063,-0.064,0.064,0.126,-0.126,-0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.028,-0.028,0.0,0.0,-0.091,0.091,0.0,0.023,-0.023,-0.001,0.001,-0.013,0.013,0.0,-0.0,0.017,-0.017,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,0.0
0.01,-0.01,0.026,-0.026,0.047,-0.047,-0.017,0.017,0.0,0.0,0.0,0.0,0.0,0.158,-0.158,0.0,0.0,0.046,-0.046,0.0,0.044,-0.044,0.112,-0.112,-0.02,0.02,0.1,-0.1,0.015,-0.015,0.0,0.0,0.0,0.0,-0.031,0.031,0.0,0.0
0.067,-0.067,-0.019,0.019,0.062,-0.062,0.032,-0.032,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.02,0.02,0.0,-0.165,0.165,0.058,-0.058,-0.097,0.097,-0.014,0.014,0.024,-0.024,0.0,0.0,0.0,0.0,0.044,-0.044,0.0,0.0
0.046,-0.046,0.004,-0.004,0.104,-0.104,0.009,-0.009,0.0,0.0,0.0,0.0,0.0,0.16,-0.16,0.0,0.0,0.01,-0.01,0.0,-0.052,0.052,-0.04,0.04,0.047,-0.047,-0.11,0.11,-0.053,0.053,0.0,0.0,0.0,0.0,0.074,-0.074,0.0,0.0
-0.043,0.043,0.039,-0.039,-0.014,0.014,-0.065,0.065,0.0,0.0,0.0,0.0,0.0,-0.021,0.021,0.0,0.0,0.0,-0.0,0.0,-0.054,0.054,-0.015,0.015,0.006,-0.006,-0.051,0.051,0.042,-0.042,0.0,0.0,0.0,0.0,0.146,-0.146,0.0,0.0
-0.045,0.045,-0.064,0.064,0.007,-0.007,-0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.017,-0.017,0.0,0.0,0.133,-0.133,0.0,0.206,-0.206,-0.121,0.121,0.058,-0.058,0.104,-0.104,-0.046,0.046,0.0,0.0,0.0,0.0,-0.012,0.012,0.0,0.0
0.138,-0.138,0.001,-0.001,-0.06,0.06,0.049,-0.049,0.0,0.0,0.0,0.0,0.0,0.233,-0.233,0.0,0.0,-0.019,0.019,0.0,0.097,-0.097,-0.067,0.067,-0.024,0.024,-0.051,0.051,0.03,-0.03,0.0,0.0,0.0,0.0,-0.028,0.028,0.0,0.0
0.21,-0.21,-0.004,0.004,-0.005,0.005,0.067,-0.067,0.0,0.0,0.0,0.0,0.0,-0.046,0.046,0.0,0.0,0.118,-0.118,0.0,0.16,-0.16,-0.048,0.048,-0.015,0.015,-0.057,0.057,0.025,-0.025,0.0,0.0,0.0,0.0,0.119,-0.119,0.0,0.0
0.156,-0.156,0.035,-0.035,-0.111,0.111,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.008,0.008,0.0,0.0,0.055,-0.055,0.0,0.128,-0.128,0.134,-0.134,-0.068,0.068,-0.085,0.085,0.046,-0.046,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0
-0.007,0.007,0.132,-0.132,-0.084,0.084,0.029,-0.029,0.0,0.0,0.0,0.0,0.0,-0.17,0.17,0.0,0.0,0.088,-0.088,0.0,-0.059,0.059,0.172,-0.172,-0.157,0.157,0.104,-0.104,0.03,-0.03,0.0,0.0,0.0,0.0,-0.026,0.026,0.0,0.0
-0.049,0.049,0.011,-0.011,0.028,-0.028,-0.059,0.059,0.0,0.0,0.0,0.0,0.0,-0.102,0.102,0.0,0.0,0.069,-0.069,0.0,-0.092,0.092,0.171,-0.171,-0.077,0.077,-0.158,0.158,-0.004,0.004,0.0,0.0,0.0,0.0,0.071,-0.071,0.0,0.0
0.0,-0.0,-0.09,0.09,0.006,-0.006,-0.075,0.075,0.0,0.0,0.0,0.0,0.0,0.093,-0.093,0.0,0.0,0.099,-0.099,0.0,0.0,-0.0,0.096,-0.096,0.005,-0.005,-0.034,0.034,-0.011,0.011,0.0,0.0,0.0,0.0,-0.221,0.221,0.0,0.0
0.077,-0.077,-0.085,0.085,0.078,-0.078,0.037,-0.037,0.0,0.0,0.0,0.0,0.0,0.03,-0.03,0.0,0.0,0.028,-0.028,0.0,-0.047,0.047,0.031,-0.031,-0.029,0.029,-0.093,0.093,0.016,-0.016,0.0,0.0,0.0,0.0,0.061,-0.061,0.0,0.0
-0.128,0.128,0.0,-0.0,0.0,-0.0,-0.04,0.04,0.0,0.0,0.0,0.0,0.0,-0.065,0.065,0.0,0.0,0.058,-0.058,0.0,-0.03,0.03,-0.298,0.298,0.053,-0.053,0.011,-0.011,-0.008,0.008,0.0,0.0,0.0,0.0,0.052,-0.052,0.0,0.0
0.11,-0.11,0.138,-0.138,-0.142,0.142,0.042,-0.042,0.0,0.0,0.0,0.0,0.0,-0.151,0.151,0.0,0.0,0.051,-0.051,0.0,-0.082,0.082,-0.066,0.066,0.056,-0.056,0.055,-0.055,-0.009,0.009,0.0,0.0,0.0,0.0,-0.201,0.201,0.0,0.0
-0.126,0.126,-0.058,0.058,0.048,-0.048,-0.015,0.015,0.0,0.0,0.0,0.0,0.0,-0.076,0.076,0.0,0.0,-0.05,0.05,0.0,0.038,-0.038,-0.004,0.004,0.016,-0.016,-0.012,0.012,0.052,-0.052,0.0,0.0,0.0,0.0,-0.054,0.054,0.0,0.0
0.061,-0.061,0.021,-0.021,0.003,-0.003,0.022,-0.022,0.0,0.0,0.0,0.0,0.0,0.007,-0.007,0.0,0.0,-0.002,0.002,0.0,-0.029,0.029,-0.068,0.068,0.024,-0.024,-0.06,0.06,-0.036,0.036,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0
0.111,-0.111,-0.082,0.082,0.02,-0.02,0.016,-0.016,0.0,0.0,0.0,0.0,0.0,-0.036,0.036,0.0,0.0,-0.024,0.024,0.0,-0.08,0.08,-0.224,0.224,0.069,-0.069,0.047,-0.047,-0.009,0.009,0.0,0.0,0.0,0.0,-0.054,0.054,0.0,0.0
-0.189,0.189,0.084,-0.084,-0.032,0.032,0.003,-0.003,0.0,0.0,0.0,0.0,0.0,-0.026,0.026,0.0,0.0,-0.009,0.009,0.0,0.078,-0.078,-0.072,0.072,0.0,-0.0,-0.02,0.02,0.008,-0.008,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,0.0
-0.008,0.008,-0.035,0.035,0.14,-0.14,-0.088,0.088,0.0,0.0,0.0,0.0,0.0,-0.198,0.198,0.0,0.0,0.09,-0.09,0.0,0.029,-0.029,0.133,-0.133,0.03,-0.03,-0.003,0.003,-0.004,0.004,0.0,0.0,0.0,0.0,0.128,-0.128,0.0,0.0
-0.134,0.134,0.078,-0.078,-0.055,0.055,-0.018,0.018,0.0,0.0,0.0,0.0,0.0,0.144,-0.144,0.0,0.0,-0.01,0.01,0.0,0.074,-0.074,0.157,-0.157,-0.131,0.131,-0.04,0.04,0.059,-0.059,0.0,0.0,0.0,0.0,-0.028,0.028,0.0,0.0
-0.116,0.116,0.069,-0.069,0.053,-0.053,-0.043,0.043,0.0,0.0,0.0,0.0,0.0,-0.026,0.026,0.0,0.0,-0.062,0.062,0.0,0.019,-0.019,0.032,-0.032,-0.031,0.031,-0.016,0.016,0.003,-0.003,0.0,0.0,0.0,0.0,-0.035,0.035,0.0,0.0
0.088,-0.088,-0.099,0.099,-0.067,0.067,0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.093,-0.093,0.0,0.0,0.068,-0.068,0.0,0.017,-0.017,0.157,-0.157,-0.025,0.025,-0.009,0.009,0.029,-0.029,0.0,0.0,0.0,0.0,0.171,-0.171,0.0,0.0
0.07,-0.07,0.044,-0.044,-0.187,0.187,-0.048,0.048,0.0,0.0,0.0,0.0,0.0,-0.097,0.097,0.0,0.0,-0.08,0.08,0.0,-0.104,0.104,-0.074,0.074,0.04,-0.04,-0.056,0.056,-0.053,0.053,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.039,-0.039,-0.02,0.02,0.033,-0.033,-0.019,0.019,0.0,0.0,0.0,0.0,0.0,-0.088,0.088,0.0,0.0,-0.1,0.1,0.0,0.114,-0.114,-0.082,0.082,-0.03,0.03,0.01,-0.01,-0.01,0.01,0.0,0.0,0.0,0.0,0.01,-0.01,0.0,0.0
0.082,-0.082,0.098,-0.098,-0.09,0.09,0.11,-0.11,0.0,0.0,0.0,0.0,0.0,0.055,-0.055,0.0,0.0,-0.026,0.026,0.0,0.081,-0.081,0.007,-0.007,0.018,-0.018,0.022,-0.022,-0.018,0.018,0.0,0.0,0.0,0.0,0.061,-0.061,0.0,0.0
