0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0.247,-0.247,-0.078,0.078,-0.079,0.079,0.102,-0.102,0.0,0.0,0.0,0.0,0.0,0.043,-0.043,0.0,0.0,-0.083,0.083,0.0,0.006,-0.006,0.049,-0.049,-0.031,0.031,-0.0,0.0,0.034,-0.034,0.0,0.0,0.0,0.0,-0.01,0.01,0.0,0.0
0.101,-0.101,-0.046,0.046,-0.032,0.032,0.071,-0.071,0.0,0.0,0.0,0.0,0.0,-0.065,0.065,0.0,0.0,0.152,-0.152,0.0,-0.098,0.098,0.063,-0.063,-0.035,0.035,-0.004,0.004,0.042,-0.042,0.0,0.0,0.0,0.0,0.008,-0.008,0.0,0.0
0.063,-0.063,0.058,-0.058,0.125,-0.125,-0.061,0.061,0.0,0.0,0.0,0.0,0.0,0.076,-0.076,0.0,0.0,-0.091,0.091,0.0,0.023,-0.023,0.001,-0.001,-0.014,0.014,0.0,-0.0,0.017,-0.017,0.0,0.0,0.0,0.0,0.063,-0.063,0.0,0.0
0.011,-0.011,-0.025,0.025,0.049,-0.049,-0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.046,-0.046,0.0,0.044,-0.044,-0.112,0.112,-0.02,0.02,0.099,-0.099,0.016,-0.016,0.0,0.0,0.0,0.0,-0.031,0.031,0.0,0.0
0.067,-0.067,0.017,-0.017,0.062,-0.062,0.033,-0.033,0.0,0.0,0.0,0.0,0.0,0.159,-0.159,0.0,0.0,-0.02,0.02,0.0,-0.165,0.165,-0.058,0.058,-0.099,0.099,-0.014,0.014,0.025,-0.025,0.0,0.0,0.0,0.0,0.043,-0.043,0.0,0.0
0.048,-0.048,-0.005,0.005,0.105,-0.105,0.011,-0.011,0.0,0.0,0.0,0.0,0.0,-0.196,0.196,0.0,0.0,0.01,-0.01,0.0,-0.052,0.052,0.04,-0.04,0.048,-0.048,-0.11,0.11,-0.055,0.055,0.0,0.0,0.0,0.0,0.074,-0.074,0.0,0.0
-0.043,0.043,-0.035,0.035,-0.013,0.013,-0.065,0.065,0.0,0.0,0.0,0.0,0.0,0.096,-0.096,0.0,0.0,0.0,-0.0,0.0,-0.054,0.054,0.015,-0.015,0.006,-0.006,-0.051,0.051,0.044,-0.044,0.0,0.0,0.0,0.0,0.148,-0.148,0.0,0.0
-0.047,0.047,0.059,-0.059,0.008,-0.008,-0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.133,-0.133,0.0,0.0,0.134,-0.134,0.0,0.206,-0.206,0.12,-0.12,0.059,-0.059,0.104,-0.104,-0.048,0.048,0.0,0.0,0.0,0.0,-0.012,0.012,0.0,0.0
0.137,-0.137,-0.002,0.002,-0.059,0.059,0.05,-0.05,0.0,0.0,0.0,0.0,0.0,-0.193,0.193,0.0,0.0,-0.018,0.018,0.0,0.097,-0.097,0.067,-0.067,-0.024,0.024,-0.051,0.051,0.031,-0.031,0.0,0.0,0.0,0.0,-0.027,0.027,0.0,0.0
0.21,-0.21,0.003,-0.003,-0.007,0.007,0.067,-0.067,0.0,0.0,0.0,0.0,0.0,0.107,-0.107,0.0,0.0,0.118,-0.118,0.0,0.16,-0.16,0.048,-0.048,-0.015,0.015,-0.058,0.058,0.026,-0.026,0.0,0.0,0.0,0.0,0.119,-0.119,0.0,0.0
0.155,-0.155,-0.032,0.032,-0.108,0.108,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.033,0.033,0.0,0.0,0.055,-0.055,0.0,0.128,-0.128,-0.134,0.134,-0.069,0.069,-0.085,0.085,0.047,-0.047,0.0,0.0,0.0,0.0,-0.1,0.1,0.0,0.0
-0.005,0.005,-0.123,0.123,-0.086,0.086,0.027,-0.027,0.0,0.0,0.0,0.0,0.0,0.066,-0.066,0.0,0.0,0.088,-0.088,0.0,-0.059,0.059,-0.172,0.172,-0.159,0.159,0.104,-0.104,0.031,-0.031,0.0,0.0,0.0,0.0,-0.025,0.025,0.0,0.0
-0.048,0.048,-0.009,0.009,0.027,-0.027,-0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.108,-0.108,0.0,0.0,0.069,-0.069,0.0,-0.091,0.091,-0.171,0.171,-0.078,0.078,-0.158,0.158,-0.005,0.005,0.0,0.0,0.0,0.0,0.07,-0.07,0.0,0.0
0.0,-0.0,0.084,-0.084,0.002,-0.002,-0.079,0.079,0.0,0.0,0.0,0.0,0.0,0.073,-0.073,0.0,0.0,0.1,-0.1,0.0,0.0,-0.0,-0.096,0.096,0.005,-0.005,-0.034,0.034,-0.011,0.011,0.0,0.0,0.0,0.0,-0.221,0.221,0.0,0.0
0.077,-0.077,0.079,-0.079,0.075,-0.075,0.037,-0.037,0.0,0.0,0.0,0.0,0.0,-0.045,0.045,0.0,0.0,0.028,-0.028,0.0,-0.047,0.047,-0.031,0.031,-0.029,0.029,-0.093,0.093,0.016,-0.016,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,0.0
-0.127,0.127,0.0,-0.0,0.0,-0.0,-0.043,0.043,0.0,0.0,0.0,0.0,0.0,0.103,-0.103,0.0,0.0,0.059,-0.059,0.0,-0.03,0.03,0.298,-0.298,0.053,-0.053,0.011,-0.011,-0.008,0.008,0.0,0.0,0.0,0.0,0.051,-0.051,0.0,0.0
0.11,-0.11,-0.129,0.129,-0.14,0.14,0.042,-0.042,0.0,0.0,0.0,0.0,0.0,0.203,-0.203,0.0,0.0,0.052,-0.052,0.0,-0.082,0.082,0.066,-0.066,0.057,-0.057,0.055,-0.055,-0.01,0.01,0.0,0.0,0.0,0.0,-0.201,0.201,0.0,0.0
-0.127,0.127,0.053,-0.053,0.047,-0.047,-0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.087,-0.087,0.0,0.0,-0.05,0.05,0.0,0.039,-0.039,0.003,-0.003,0.016,-0.016,-0.012,0.012,0.054,-0.054,0.0,0.0,0.0,0.0,-0.055,0.055,0.0,0.0
0.061,-0.061,-0.02,0.02,0.005,-0.005,0.023,-0.023,0.0,0.0,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,-0.002,0.002,0.0,-0.029,0.029,0.067,-0.067,0.024,-0.024,-0.06,0.06,-0.038,0.038,0.0,0.0,0.0,0.0,-0.2,0.2,0.0,0.0
0.11,-0.11,0.077,-0.077,0.017,-0.017,0.016,-0.016,0.0,0.0,0.0,0.0,0.0,-0.031,0.031,0.0,0.0,-0.024,0.024,0.0,-0.08,0.08,0.224,-0.224,0.069,-0.069,0.047,-0.047,-0.01,0.01,0.0,0.0,0.0,0.0,-0.053,0.053,0.0,0.0
-0.188,0.188,-0.079,0.079,-0.032,0.032,0.003,-0.003,0.0,0.0,0.0,0.0,0.0,-0.038,0.038,0.0,0.0,-0.009,0.009,0.0,0.077,-0.077,0.071,-0.071,0.0,-0.0,-0.02,0.02,0.008,-0.008,0.0,0.0,0.0,0.0,0.062,-0.062,0.0,0.0
-0.007,0.007,0.032,-0.032,0.141,-0.141,-0.088,0.088,0.0,0.0,0.0,0.0,0.0,0.156,-0.156,0.0,0.0,0.089,-0.089,0.0,0.029,-0.029,-0.133,0.133,0.03,-0.03,-0.003,0.003,-0.004,0.004,0.0,0.0,0.0,0.0,0.128,-0.128,0.0,0.0
-0.133,0.133,-0.071,0.071,-0.055,0.055,-0.019,0.019,0.0,0.0,0.0,0.0,0.0,-0.147,0.147,0.0,0.0,-0.01,0.01,0.0,0.074,-0.074,-0.157,0.157,-0.133,0.133,-0.041,0.041,0.061,-0.061,0.0,0.0,0.0,0.0,-0.028,0.028,0.0,0.0
-0.115,0.115,-0.063,0.063,0.056,-0.056,-0.042,0.042,0.0,0.0,0.0,0.0,0.0,0.064,-0.064,0.0,0.0,-0.062,0.062,0.0,0.019,-0.019,-0.032,0.032,-0.032,0.032,-0.016,0.016,0.003,-0.003,0.0,0.0,0.0,0.0,-0.036,0.036,0.0,0.0
0.086,-0.086,0.091,-0.091,-0.066,0.066,0.019,-0.019,0.0,0.0,0.0,0.0,0.0,-0.151,0.151,0.0,0.0,0.067,-0.067,0.0,0.016,-0.016,-0.157,0.157,-0.026,0.026,-0.009,0.009,0.03,-0.03,0.0,0.0,0.0,0.0,0.171,-0.171,0.0,0.0
0.067,-0.067,-0.041,0.041,-0.183,0.183,-0.048,0.048,0.0,0.0,0.0,0.0,0.0,0.027,-0.027,0.0,0.0,-0.079,0.079,0.0,-0.104,0.104,0.074,-0.074,0.04,-0.04,-0.056,0.056,-0.054,0.054,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.041,-0.041,0.018,-0.018,0.031,-0.031,-0.021,0.021,0.0,0.0,0.0,0.0,0.0,0.179,-0.179,0.0,0.0,-0.1,0.1,0.0,0.114,-0.114,0.082,-0.082,-0.03,0.03,0.01,-0.01,-0.011,0.011,0.0,0.0,0.0,0.0,0.009,-0.009,0.0,0.0
0.084,-0.084,-0.09,0.09,-0.092,0.092,0.111,-0.111,0.0,0.0,0.0,0.0,0.0,-0.075,0.075,0.0,0.0,-0.026,0.026,0.0,0.08,-0.08,-0.007,0.007,0.018,-0.018,0.022,-0.022,-0.019,0.019,0.0,0.0,0.0,0.0,0.061,-0.061,0.0,0.0
