0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10,12,12.0,12.0,12.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
14,14,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
12,12,12.0,12.0,12.0,12.0,12.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,
14,6,6.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,11.0,11.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,8.0,13.0,13.0,13.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,8.0,13.0,7.0,7.0,7.0,7.0,13.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,11.0,11.0,4.0,4.0,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,
14,14,3.0,3.0,3.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,
6,6,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,14.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
10,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,5.0,5.0,7.0,7.0,,,,,,,,,,,,,,,,
14,6,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
10,12,12.0,12.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
10,12,12.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,3.0,3.0,3.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,12.0,11.0,11.0,11.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
6,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,
14,6,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
6,15,15.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,
10,10,10.0,12.0,12.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,7.0,,,,,,,,,,,,,,
14,14,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
14,14,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
6,15,15.0,15.0,15.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,9.0,9.0,,,,,,,,,,,
10,10,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,10.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0
14,14,14.0,3.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,12.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,,,
10,10,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,
10,10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
6,6,6.0,6.0,6.0,6.0,4.0,4.0,4.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,
12,12,12.0,12.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,
14,14,14.0,3.0,3.0,3.0,3.0,3.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,
8,8,8.0,8.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,
